"filename", "language", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Selcuk\Desktop\dark-lyst-website\babel.config.json", "JSON", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\Paginator.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\SearchBox.js", "JavaScript", 327, 0, 0, 0, 1, 33, 361
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\cards\MovieShowCard.js", "JavaScript", 273, 0, 0, 0, 0, 31, 304
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\cards\MovieShowCard.test.js", "JavaScript", 54, 0, 0, 0, 0, 4, 58
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\cards\MovieShowLargeCard.js", "JavaScript", 240, 0, 0, 0, 0, 34, 274
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\cards\PeopleCard.js", "JavaScript", 82, 0, 0, 0, 0, 15, 97
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\cards\PeopleLargeCard.js", "JavaScript", 165, 0, 0, 0, 0, 30, 195
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\AccountContainer.js", "JavaScript", 125, 0, 0, 0, 0, 14, 139
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\CarouselContainer.js", "JavaScript", 96, 0, 0, 0, 1, 9, 106
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\HeroMovieContainer.js", "JavaScript", 187, 0, 0, 0, 0, 25, 212
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\MovieWatchlistContainer.js", "JavaScript", 91, 0, 0, 0, 0, 14, 105
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\ProfileContainer.js", "JavaScript", 147, 0, 0, 0, 0, 21, 168
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\SeasonContainer.js", "JavaScript", 88, 0, 0, 0, 0, 10, 98
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\SeasonsContainer.js", "JavaScript", 27, 0, 0, 0, 0, 4, 31
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\ShowWatchlistContainer.js", "JavaScript", 88, 0, 0, 0, 0, 14, 102
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\containers\StarListContainer.js", "JavaScript", 88, 0, 0, 0, 0, 14, 102
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\credits\CreditContainer.js", "JavaScript", 106, 0, 0, 0, 0, 16, 122
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\credits\MovieShowCredits.js", "JavaScript", 131, 0, 0, 0, 0, 20, 151
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\forms\ChangePasswordForm.js", "JavaScript", 246, 0, 0, 0, 0, 16, 262
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\forms\ForgottenPasswordForm.js", "JavaScript", 118, 0, 0, 0, 0, 12, 130
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\forms\LoginForm.js", "JavaScript", 160, 0, 0, 0, 0, 13, 173
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\forms\ResetPasswordForm.js", "JavaScript", 151, 0, 0, 0, 0, 12, 163
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\forms\SignUpForm.js", "JavaScript", 196, 0, 0, 0, 0, 12, 208
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\google\GoogleSignIn.js", "JavaScript", 25, 0, 0, 0, 0, 4, 29
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\icons\CircularRating.js", "JavaScript", 52, 0, 0, 0, 2, 7, 61
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\icons\HeartIcon.js", "JavaScript", 73, 0, 0, 0, 0, 4, 77
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\icons\Logo.js", "JavaScript", 137, 0, 0, 0, 0, 2, 139
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\icons\PlayIcon.js", "JavaScript", 18, 0, 0, 0, 0, 2, 20
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\icons\TmdbLogo.js", "JavaScript", 40, 0, 0, 0, 12, 2, 54
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\ActiveLink.js", "JavaScript", 28, 0, 0, 0, 0, 8, 36
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\DiscoverDropdown.js", "JavaScript", 87, 0, 0, 0, 2, 6, 95
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\Footer.js", "JavaScript", 173, 0, 0, 0, 0, 26, 199
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\Layout.js", "JavaScript", 84, 0, 0, 0, 12, 13, 109
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\MovieDropdown.js", "JavaScript", 121, 0, 0, 0, 2, 6, 129
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\Navbar.js", "JavaScript", 350, 0, 0, 0, 0, 30, 380
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\layout\TvDropdown.js", "JavaScript", 136, 0, 0, 0, 2, 6, 144
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\modals\SeasonModal.js", "JavaScript", 157, 0, 0, 0, 0, 17, 174
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\modals\VideoImageModal.js", "JavaScript", 58, 0, 0, 0, 0, 4, 62
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\movie\MovieDiscoverForm.js", "JavaScript", 311, 0, 0, 0, 1, 23, 335
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\movie\MovieIntro.js", "JavaScript", 299, 0, 0, 0, 0, 41, 340
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\person\PersonIntro.js", "JavaScript", 217, 0, 0, 0, 0, 33, 250
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\show\ShowDiscoverForm.js", "JavaScript", 356, 0, 0, 0, 2, 22, 380
"c:\Users\Selcuk\Desktop\dark-lyst-website\components\show\ShowIntro.js", "JavaScript", 303, 0, 0, 0, 0, 41, 344
"c:\Users\Selcuk\Desktop\dark-lyst-website\config\db.js", "JavaScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\Selcuk\Desktop\dark-lyst-website\config\logger.js", "JavaScript", 54, 0, 0, 0, 0, 5, 59
"c:\Users\Selcuk\Desktop\dark-lyst-website\config\redis.js", "JavaScript", 7, 0, 0, 0, 0, 3, 10
"c:\Users\Selcuk\Desktop\dark-lyst-website\generate-sitemap.js", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\Selcuk\Desktop\dark-lyst-website\jest.config.js", "JavaScript", 17, 0, 0, 0, 18, 1, 36
"c:\Users\Selcuk\Desktop\dark-lyst-website\jsconfig.json", "JSON", 0, 5, 0, 0, 0, 1, 6
"c:\Users\Selcuk\Desktop\dark-lyst-website\middlewares\auth.js", "JavaScript", 45, 0, 0, 0, 0, 9, 54
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\Movie.js", "JavaScript", 29, 0, 0, 0, 0, 4, 33
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\Person.js", "JavaScript", 39, 0, 0, 0, 0, 4, 43
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\Show.js", "JavaScript", 30, 0, 0, 0, 0, 5, 35
"c:\Users\Selcuk\Desktop\dark-lyst-website\models\User.js", "JavaScript", 56, 0, 0, 0, 0, 4, 60
"c:\Users\Selcuk\Desktop\dark-lyst-website\next.config.js", "JavaScript", 19, 0, 0, 0, 2, 2, 23
"c:\Users\Selcuk\Desktop\dark-lyst-website\package-lock.json", "JSON", 0, 20729, 0, 0, 0, 1, 20730
"c:\Users\Selcuk\Desktop\dark-lyst-website\package.json", "JSON", 0, 89, 0, 0, 0, 1, 90
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\404.js", "JavaScript", 32, 0, 0, 0, 0, 3, 35
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\_app.js", "JavaScript", 51, 0, 0, 0, 11, 6, 68
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\_document.js", "JavaScript", 91, 0, 0, 0, 0, 4, 95
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\dashboard\[lid].js", "JavaScript", 194, 0, 0, 0, 7, 22, 223
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\discover\movies.js", "JavaScript", 216, 0, 0, 0, 0, 39, 255
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\discover\shows.js", "JavaScript", 252, 0, 0, 0, 0, 44, 296
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\forgot-password.js", "JavaScript", 122, 0, 0, 0, 0, 16, 138
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\index.js", "JavaScript", 289, 0, 0, 0, 1, 23, 313
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\login.js", "JavaScript", 180, 0, 0, 0, 0, 21, 201
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\movie\detail\[title]\[pid].js", "JavaScript", 319, 0, 0, 0, 0, 28, 347
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\movies\[slug].js", "JavaScript", 169, 0, 0, 0, 0, 32, 201
"c:\Users\Selcuk\Desktop\dark-lyst-website\pages\person\detail\[name]\[sid].js", "JavaScript", 288, 0, 0, 0, 0, 31, 319
